Re_px,Im_px,Re_py,Im_py,Re_pz,Im_pz,x,y,z,Re_alpha,Im_alpha,Re_Ex,Im_Ex,Re_Ey,Im_Ey,Re_Ez,Im_Ez
1.890481250e-32,5.904340156e-34,6.367772319e-35,1.583278640e-35,0.000000000e+00,0.000000000e+00,-4.965646200e-08,1.862691223e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.903504593e-32,6.253972310e-34,1.807818463e-34,2.025970077e-35,0.000000000e+00,0.000000000e+00,2.105750056e-09,1.886916228e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.932122120e-32,6.681131387e-34,-9.045463000e-35,1.250838599e-36,0.000000000e+00,0.000000000e+00,4.970939333e-08,1.922154731e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.893431342e-32,6.356238695e-34,-1.740423442e-34,-8.954747791e-36,0.000000000e+00,0.000000000e+00,4.730817271e-09,1.949555697e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.898147241e-32,6.106702584e-34,5.631511296e-35,-3.586178987e-36,0.000000000e+00,0.000000000e+00,-5.599735348e-08,1.981729772e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.960750125e-32,6.614620157e-34,-5.650811506e-35,-1.165294796e-35,0.000000000e+00,0.000000000e+00,7.411546563e-08,2.012401145e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.901332771e-32,5.801051002e-34,-2.242323358e-34,-2.185111057e-35,0.000000000e+00,0.000000000e+00,-5.857886318e-08,2.036878522e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.899408971e-32,5.635311000e-34,4.530273705e-35,-5.861323744e-36,0.000000000e+00,0.000000000e+00,-6.400687934e-08,2.066968011e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.928200215e-32,5.873562994e-34,2.186118770e-34,7.799217719e-36,0.000000000e+00,0.000000000e+00,-4.657228836e-09,2.099201827e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.900640651e-32,5.910463551e-34,-5.089297176e-35,1.957924365e-37,0.000000000e+00,0.000000000e+00,3.522097981e-08,2.132715227e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.932586089e-32,6.282781538e-34,4.724737619e-36,6.078448579e-36,0.000000000e+00,0.000000000e+00,6.116800068e-08,2.158500105e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.885607685e-32,6.000329213e-34,6.966386569e-35,1.104331980e-35,0.000000000e+00,0.000000000e+00,-3.219004163e-08,2.190972679e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.903418938e-32,6.317958457e-34,3.259184809e-34,2.317314280e-35,0.000000000e+00,0.000000000e+00,9.309781849e-09,2.213624857e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.912693702e-32,6.399091411e-34,8.554956018e-35,6.734680098e-36,0.000000000e+00,0.000000000e+00,-4.630185103e-09,2.253599383e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.926308637e-32,6.556981795e-34,1.937355193e-34,9.797157155e-36,0.000000000e+00,0.000000000e+00,4.711216943e-08,2.278814072e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.902054512e-32,6.218223115e-34,-8.188605565e-35,-6.536207677e-36,0.000000000e+00,0.000000000e+00,3.168800023e-08,2.312442533e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.913507139e-32,6.044613185e-34,1.923792512e-35,-4.430406047e-37,0.000000000e+00,0.000000000e+00,7.409882232e-09,2.341211458e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.918876044e-32,5.922919904e-34,-1.140622428e-34,-4.390992389e-36,0.000000000e+00,-0.000000000e+00,2.465125499e-10,2.369341432e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.911319825e-32,5.727906666e-34,3.311703690e-35,7.047746733e-36,0.000000000e+00,0.000000000e+00,-4.409895739e-08,2.400683157e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.912436070e-32,6.037254114e-34,-1.482002669e-34,2.061672344e-36,0.000000000e+00,0.000000000e+00,4.336741871e-08,2.432628346e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.908409387e-32,5.972036964e-34,-1.468441391e-34,3.034088241e-36,0.000000000e+00,0.000000000e+00,-2.484601867e-08,2.455738206e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.897234889e-32,6.151217391e-34,4.648807218e-35,1.056488165e-35,0.000000000e+00,0.000000000e+00,-1.946097609e-08,2.489067574e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.908780800e-32,6.379712968e-34,1.776350091e-34,1.239631254e-35,0.000000000e+00,0.000000000e+00,-1.488138329e-08,2.517509288e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.909740328e-32,6.672272725e-34,1.560450370e-34,5.770760810e-36,0.000000000e+00,0.000000000e+00,6.739935420e-08,2.542515818e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.925750330e-32,6.508210572e-34,-1.312604421e-34,-1.649577345e-35,0.000000000e+00,0.000000000e+00,7.623111428e-09,2.579201122e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
