Re_px,Im_px,Re_py,Im_py,Re_pz,Im_pz,x,y,z,Re_alpha,Im_alpha,Re_Ex,Im_Ex,Re_Ey,Im_Ey,Re_Ez,Im_Ez
1.902614144e-32,6.331993099e-34,3.418549704e-36,3.948407404e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.220000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.903142379e-32,6.382750413e-34,5.064924683e-36,-1.909345450e-37,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.250000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.904860061e-32,6.324645361e-34,4.891131844e-36,-3.895806420e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.280000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.907104431e-32,6.176607560e-34,2.820208155e-36,-5.589710913e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.310000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.908982213e-32,5.991532123e-34,-4.704244719e-37,-4.411426027e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.340000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.909719036e-32,5.837789577e-34,-3.742889992e-36,-5.918295589e-37,0.000000000e+00,-0.000000000e+00,0.000000000e+00,2.370000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.908972355e-32,5.774462024e-34,-5.640583107e-36,4.561872170e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.400000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.906983409e-32,5.829136968e-34,-5.224204711e-36,9.090956402e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.430000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.904502997e-32,5.986433061e-34,-2.396403677e-36,1.108607864e-35,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.460000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.902512338e-32,6.191818641e-34,1.966223297e-36,9.422830579e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.490000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.901841106e-32,6.369929417e-34,6.257234022e-36,4.263622304e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.520000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.902828703e-32,6.451355711e-34,8.704829802e-36,-2.874664059e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.550000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.905163664e-32,6.398611580e-34,8.070635615e-36,-9.545086976e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.580000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
